scheme,scheme_id,round,mean_accuracy,std_accuracy,mean_loss,std_loss
ML-DSA-87,ML-DSA-87,30,0.72157,0.006240913394688343,1.279871274623871,0.036728883860652005
Falcon-padded-512,Falcon-padded-512,0,0.10103,0.006084780649748645,2.30310250667572,0.0007815340706910088
Falcon-padded-512,Falcon-padded-512,1,0.17355,0.03637722883587723,2.1939480848693846,0.06299962377344934
Falcon-padded-512,Falcon-padded-512,2,0.4575,0.024740564980524505,1.5252384378433228,0.046606833610730404
Falcon-padded-512,Falcon-padded-512,3,0.54808,0.016354054882845127,1.2926460140609741,0.032698458509958124
Falcon-padded-512,Falcon-padded-512,4,0.60239,0.010619839923463981,1.1450522498893738,0.021238506707668768
Falcon-padded-512,Falcon-padded-512,5,0.63563,0.012031444911841065,1.051728156967163,0.03049130417962389
Falcon-padded-512,Falcon-padded-512,6,0.65949,0.010551403276868501,0.9848548719978332,0.026050467255321768
Falcon-padded-512,Falcon-padded-512,7,0.67763,0.008528911614815404,0.9321165508174897,0.022975580416807907
Falcon-padded-512,Falcon-padded-512,8,0.69109,0.008173323817286445,0.9001192888259888,0.019523091201377116
Falcon-padded-512,Falcon-padded-512,9,0.70096,0.0076334352249385964,0.8738161804199219,0.019506028074097962
Falcon-padded-512,Falcon-padded-512,10,0.70756,0.00939848687585165,0.8571761891269685,0.023542095162074582
Falcon-padded-512,Falcon-padded-512,11,0.7128,0.007485838481945648,0.8463974042701722,0.017506699951360685
Falcon-padded-512,Falcon-padded-512,12,0.71653,0.006582139132193691,0.8360869244289398,0.017494373732005228
Falcon-padded-512,Falcon-padded-512,13,0.7197899999999999,0.006894031234819491,0.8338528042984009,0.017380795265785835
Falcon-padded-512,Falcon-padded-512,14,0.7198599999999999,0.005084223965693635,0.8390098506259918,0.016326394492017192
Falcon-padded-512,Falcon-padded-512,15,0.72035,0.005744997824194488,0.8425520245933533,0.018515961337560744
Falcon-padded-512,Falcon-padded-512,16,0.72185,0.004883816813381377,0.8537159608745576,0.015402064974603731
Falcon-padded-512,Falcon-padded-512,17,0.72179,0.007257555450088619,0.864300796585083,0.013977717017295542
Falcon-padded-512,Falcon-padded-512,18,0.72211,0.005427798817200198,0.8828240383243561,0.014034002010622935
Falcon-padded-512,Falcon-padded-512,19,0.72152,0.006034493442792978,0.9076101396846772,0.012409356467031396
Falcon-padded-512,Falcon-padded-512,20,0.72094,0.0040114281192058735,0.9333897381210328,0.014379674873395703
Falcon-padded-512,Falcon-padded-512,21,0.7212099999999999,0.005464928585484365,0.9609767522239684,0.01968708919306428
Falcon-padded-512,Falcon-padded-512,22,0.7221599999999999,0.005173694145493262,0.9809768054580689,0.013452898748423326
Falcon-padded-512,Falcon-padded-512,23,0.72273,0.004469663173986245,1.020171681842804,0.01484386215555552
Falcon-padded-512,Falcon-padded-512,24,0.7230800000000001,0.006502102224152885,1.0498876415348053,0.025766367533328262
Falcon-padded-512,Falcon-padded-512,25,0.72236,0.005291754592445373,1.0793675559806823,0.023272388451209654
Falcon-padded-512,Falcon-padded-512,26,0.7213,0.00456045806666149,1.1287574216175078,0.024786276757864302
Falcon-padded-512,Falcon-padded-512,27,0.72221,0.004994541464883875,1.1605182786178587,0.024775785794375064
Falcon-padded-512,Falcon-padded-512,28,0.72037,0.004699420768089965,1.1852136695766449,0.02238579685931294
Falcon-padded-512,Falcon-padded-512,29,0.7229300000000001,0.004306855001041958,1.2351815904426575,0.02934145028395998
Falcon-padded-512,Falcon-padded-512,30,0.7219300000000001,0.005279109773437237,1.2711700976848603,0.03132041289239552
SLH-DSA-SHA2-128s,SLH_DSA_PURE_SHA2_128S,0,0.10103,0.006084780649748645,2.30310250667572,0.0007815340706910088
SLH-DSA-SHA2-128s,SLH_DSA_PURE_SHA2_128S,1,0.17355,0.03637722883587723,2.193948087272644,0.06299961702270161
SLH-DSA-SHA2-128s,SLH_DSA_PURE_SHA2_128S,2,0.45674000000000003,0.02344673395876988,1.5334112240982054,0.04336901567723965
SLH-DSA-SHA2-128s,SLH_DSA_PURE_SHA2_128S,3,0.54996,0.014579986282572437,1.2880872670555115,0.03179236075595131
SLH-DSA-SHA2-128s,SLH_DSA_PURE_SHA2_128S,4,0.60068,0.012221001959286664,1.1499759714889526,0.03105923169346892
SLH-DSA-SHA2-128s,SLH_DSA_PURE_SHA2_128S,5,0.6372,0.009399881795947095,1.04531465839386,0.026706593138185852
SLH-DSA-SHA2-128s,SLH_DSA_PURE_SHA2_128S,6,0.6597999999999999,0.008596640170567951,0.9851386250305175,0.021758219459666512
SLH-DSA-SHA2-128s,SLH_DSA_PURE_SHA2_128S,7,0.6768500000000001,0.010039394625396705,0.9391120399856566,0.022776813059259344
SLH-DSA-SHA2-128s,SLH_DSA_PURE_SHA2_128S,8,0.6918300000000001,0.006683819599932686,0.8983643448734284,0.019051242483496985
SLH-DSA-SHA2-128s,SLH_DSA_PURE_SHA2_128S,9,0.70051,0.0065527687108410835,0.8730730555343629,0.018065220783632405
SLH-DSA-SHA2-128s,SLH_DSA_PURE_SHA2_128S,10,0.70804,0.008149192189004605,0.8548431686973572,0.018659434746704427
SLH-DSA-SHA2-128s,SLH_DSA_PURE_SHA2_128S,11,0.71325,0.006813915500242468,0.8418081361579896,0.01476829031640741
SLH-DSA-SHA2-128s,SLH_DSA_PURE_SHA2_128S,12,0.7162200000000001,0.005836056507227756,0.8352237475204468,0.01575941908601485
SLH-DSA-SHA2-128s,SLH_DSA_PURE_SHA2_128S,13,0.72075,0.0065445906416418745,0.8312885671520233,0.012713548745099806
SLH-DSA-SHA2-128s,SLH_DSA_PURE_SHA2_128S,14,0.71875,0.004815541967883201,0.8387053130054474,0.012750130902445686
SLH-DSA-SHA2-128s,SLH_DSA_PURE_SHA2_128S,15,0.72037,0.0060620953473200755,0.8406759477043153,0.014487236014622097
SLH-DSA-SHA2-128s,SLH_DSA_PURE_SHA2_128S,16,0.72102,0.0038273286303170486,0.8508612043571473,0.009755269229464503
SLH-DSA-SHA2-128s,SLH_DSA_PURE_SHA2_128S,17,0.7223200000000001,0.005194184782577132,0.8625747684097289,0.01149507184460653
SLH-DSA-SHA2-128s,SLH_DSA_PURE_SHA2_128S,18,0.72129,0.004748438339777227,0.8873318541336059,0.0130102975598925
SLH-DSA-SHA2-128s,SLH_DSA_PURE_SHA2_128S,19,0.7207600000000001,0.006731385856980385,0.9036440889549254,0.010871134618855955
SLH-DSA-SHA2-128s,SLH_DSA_PURE_SHA2_128S,20,0.72277,0.004861195554822125,0.9204721486186982,0.014244985928999065
SLH-DSA-SHA2-128s,SLH_DSA_PURE_SHA2_128S,21,0.72237,0.005712957980668931,0.9499581817913055,0.01571864787328936
SLH-DSA-SHA2-128s,SLH_DSA_PURE_SHA2_128S,22,0.72165,0.004902437035688367,0.9769457663726808,0.014359833543793705
SLH-DSA-SHA2-128s,SLH_DSA_PURE_SHA2_128S,23,0.72195,0.0033629517457799307,1.0034207540893554,0.017212105827061213
SLH-DSA-SHA2-128s,SLH_DSA_PURE_SHA2_128S,24,0.72145,0.0051359841640461895,1.0384510575389863,0.02193137745015698
SLH-DSA-SHA2-128s,SLH_DSA_PURE_SHA2_128S,25,0.72095,0.003731919375096712,1.071268694047928,0.02661869520279358
SLH-DSA-SHA2-128s,SLH_DSA_PURE_SHA2_128S,26,0.72012,0.005115944574454378,1.1162595091819765,0.028638284116552826
SLH-DSA-SHA2-128s,SLH_DSA_PURE_SHA2_128S,27,0.72089,0.0044237867137655595,1.139035218334198,0.01881545593685508
SLH-DSA-SHA2-128s,SLH_DSA_PURE_SHA2_128S,28,0.72097,0.003926844930871429,1.1804413064861297,0.015323989364406968
SLH-DSA-SHA2-128s,SLH_DSA_PURE_SHA2_128S,29,0.7212,0.005457919831665608,1.2174356119680403,0.01262060213229583
SLH-DSA-SHA2-128s,SLH_DSA_PURE_SHA2_128S,30,0.72118,0.003966190447604174,1.2563820611572267,0.029317979187870952
