scheme,scheme_id,run,keygen_time_ms,client_serialize_time_ms,sign_time_ms,server_serialize_time_ms,verify_time_ms,server_verify_total_time_ms,train_time_s,train_loss
ML-DSA-44,ML-DSA-44,3,0.243006694363382,1.992440237275586,7.7499478116320555,1.1442313669248898,6.399185084737794,6.455570318115204,19.57810938762889,0.6951259074142141
ML-DSA-44,ML-DSA-44,4,0.23469436680893666,1.956935403092404,8.293203063464363,1.1722906543096634,6.277973786927708,6.336031485892161,19.59505476604604,0.7261350620567181
ML-DSA-44,ML-DSA-44,5,0.23555014631706067,2.0055498729925083,7.555869498367683,1.1267093157705648,6.2597378809004525,6.31660590452758,19.742838382579695,0.7287086314147763
ML-DSA-44,ML-DSA-44,6,0.2503569292214487,1.9810787704772763,7.74396743625398,1.1448473731676192,6.316291065886567,6.3726304564624545,19.753134797902312,0.7240347533332455
ML-DSA-44,ML-DSA-44,7,0.247725733400582,2.100438808556598,7.783429709573537,1.106649069891572,6.332171024599371,6.3872383465058595,19.689342294575958,0.7386203483749315
ML-DSA-44,ML-DSA-44,8,0.22578153138354465,1.9801601146657717,7.622768901443682,1.1761657994550452,6.465660785324823,6.522036142802437,19.499816416820977,0.72329583600734
ML-DSA-44,ML-DSA-44,9,0.244811346443942,2.1514315212455384,7.637653287189654,1.2110451011297114,6.530213840305756,6.588091563899023,19.9344494001482,0.7187792120906323
ML-DSA-44,ML-DSA-44,10,0.23702048929403133,1.9842904689721277,7.599206967279266,1.1298421149452025,6.305743680180309,6.359073403291356,19.635966220482562,0.7285523966694619
ML-DSA-65,ML-DSA-65,1,0.26921157337099466,2.028749286352296,7.5891540742789205,1.1253899491081114,6.465938352436394,6.520360780414144,19.74574271408841,0.6953717594307076
ML-DSA-65,ML-DSA-65,2,0.26976270756368803,1.9928219080126013,7.688532659861525,1.1958844428105408,6.292232871831655,6.372251552917634,19.51511160128517,0.7341542899881414
ML-DSA-65,ML-DSA-65,3,0.2693739413128047,1.9854133191983676,7.790004488003081,1.2234629077525954,6.289571668021332,6.345568188310865,19.696953613563284,0.6951724296549278
ML-DSA-65,ML-DSA-65,4,0.2790061268023673,1.991734586578431,7.760796765796791,1.2203111305521974,6.309641957826244,6.366434228839301,19.642210967659874,0.7284199706188832
ML-DSA-65,ML-DSA-65,5,0.27641097782174606,1.9848001635788142,7.743038281720705,1.165306744320893,6.361819485512822,6.418420661163157,19.672721142469285,0.7294138923871526
ML-DSA-65,ML-DSA-65,6,0.26642360026012,1.937654616776802,7.752169349696437,1.1947452005308838,6.282435648608902,6.339616039767814,19.340078067653035,0.7275061317457175
ML-DSA-65,ML-DSA-65,7,0.28604243183503336,2.0495302191314124,7.746343860247435,1.156955647747918,6.284657487024813,6.341560417786188,19.77084974169188,0.7293760366103621
ML-DSA-65,ML-DSA-65,8,0.26918672801300936,1.9466562250939046,7.691363495153632,1.1683403537608226,6.326695642589233,6.383380385426128,19.517750184606605,0.7192834958472637
ML-DSA-65,ML-DSA-65,9,0.274419389509858,2.006585365937352,7.588337690103749,1.2109418438436612,6.512469669493488,6.571983085789976,19.929994609983016,0.718611431139726
ML-DSA-65,ML-DSA-65,10,0.27274314779783265,1.9961971479157108,7.723087516302818,1.1721981037407607,6.285584568977305,6.34130725171412,19.84743292617301,0.7276122597003002
ML-DSA-87,ML-DSA-87,1,0.3218678175471267,1.9528469765403127,7.850631385808765,1.167416355262152,6.331230994158682,6.387255407947376,19.564609714748414,0.692854670532332
