scheme,run,round,crypto_cost_round,train_cost_round,crypto_fraction
ECDSA-256,4,28,0.005976399173959,102.10414142650552,5.852896168587132e-05
ECDSA-256,4,29,0.005814598640425699,102.0689802907873,5.696409820587295e-05
ECDSA-256,4,30,0.0056423726491615,103.93664254550822,5.4283708055910265e-05
ECDSA-256,5,1,0.0304003418423221,100.66140983998775,0.00030191474150107064
ECDSA-256,5,2,0.0056764362379895,101.3638355282601,5.5997470323991666e-05
ECDSA-256,5,3,0.005467544076963,101.69647539709695,5.3760468274686924e-05
ECDSA-256,5,4,0.0057929083704932,101.19941802788526,5.72392302422241e-05
ECDSA-256,5,5,0.0056176595389827,100.72558905091137,5.5768810107979145e-05
ECDSA-256,5,6,0.0054475455544876,101.07839834853075,5.389135629243361e-05
ECDSA-256,5,7,0.0067646394018069,100.64964164374396,6.720525450489476e-05
ECDSA-256,5,8,0.0054248909000295005,102.58603027206846,5.2878584199941e-05
ECDSA-256,5,9,0.0054464892018572,100.3839059153106,5.425365411175202e-05
ECDSA-256,5,10,0.0054533199872805,101.23866540030576,5.3863079220891615e-05
ECDSA-256,5,11,0.005595855880527,105.23564165621065,5.317170353383664e-05
ECDSA-256,5,12,0.0053084837272747,100.98431720887311,5.256464405000422e-05
ECDSA-256,5,13,0.005556313320992901,104.0774172754027,5.338349904325629e-05
ECDSA-256,5,14,0.0055869768839314,101.3209038823843,5.513836348769957e-05
ECDSA-256,5,15,0.005593162728471699,102.85609388188459,5.437556868035655e-05
ECDSA-256,5,16,0.0049939644522952005,102.32004211493768,4.880491269429487e-05
ECDSA-256,5,17,0.0057855411432669,101.13256561709568,5.720422645822022e-05
ECDSA-256,5,18,0.0055687977001059995,102.7430517822504,5.4198272139067986e-05
ECDSA-256,5,19,0.005890481639652,101.65153588727117,5.7944430132193914e-05
ECDSA-256,5,20,0.0053759042639271,102.95641758386046,5.2212612871270126e-05
ECDSA-256,5,21,0.0068784246686829,102.28779668710195,6.724127781986012e-05
ECDSA-256,5,22,0.0051303869113309,101.33160061808303,5.062712069405564e-05
ECDSA-256,5,23,0.0053064085077479,101.999969515251,5.202092205224796e-05
ECDSA-256,5,24,0.005756126716731501,103.09008213691413,5.583277476256857e-05
ECDSA-256,5,25,0.005076804198323,101.55075666005723,4.9990276532070165e-05
ECDSA-256,5,26,0.0063309797551469,101.68394398852251,6.22574750350695e-05
ECDSA-256,5,27,0.0052475729025886,100.25802409276366,5.2337938064568044e-05
ECDSA-256,5,28,0.005387839861212501,101.26328252186067,5.320342255870111e-05
ECDSA-256,5,29,0.0055758845992371,102.81511386856437,5.4229208271436825e-05
ECDSA-256,5,30,0.004983083577825001,101.70846351492219,4.89913943973902e-05
Falcon-padded-512,1,1,0.08936921134590997,103.2996155214496,0.0008643978038558067
Falcon-padded-512,1,2,0.09755515516735515,105.68885842035525,0.0009221898339308854
Falcon-padded-512,1,3,0.10243151779286466,103.12110094749369,0.000992327188834695
Falcon-padded-512,1,4,0.10042876168154088,104.0252483531367,0.0009644956408859574
Falcon-padded-512,1,5,0.10237751901149669,102.82914335187525,0.0009946177628125696
Falcon-padded-512,1,6,0.09173169289715492,102.34373614797369,0.0008955071405507341
Falcon-padded-512,1,7,0.10281231231056016,104.62063501705416,0.0009817506483262163
Falcon-padded-512,1,8,0.10906435875221994,102.37305293185636,0.0010642281954708849
Falcon-padded-512,1,9,0.08959755371324604,102.69550301856361,0.0008716978746374087
Falcon-padded-512,1,10,0.10259757051244273,104.86522114556283,0.0009774192868573961
Falcon-padded-512,1,11,0.08647002838551898,103.15830283495598,0.0008375245156476234
Falcon-padded-512,1,12,0.08921442553400909,105.3890789935831,0.000845808389973815
Falcon-padded-512,1,13,0.09647507756017033,102.80555569753051,0.0009375429895162369
Falcon-padded-512,1,14,0.11177501571364613,103.14334958535619,0.0010825130098432714
Falcon-padded-512,1,15,0.08368456736206879,105.5178581206128,0.0007924559171387766
Falcon-padded-512,1,16,0.08852407429367204,103.01442333403975,0.0008585988715053646
Falcon-padded-512,1,17,0.0900209103710942,105.54530352004804,0.000852185676112445
Falcon-padded-512,1,18,0.12903119507245622,105.17154853511602,0.0012253607283366594
Falcon-padded-512,1,19,0.07874251552857328,102.9425374052953,0.0007643325300276814
Falcon-padded-512,1,20,0.08724340214393932,105.03356066136621,0.0008299346920066368
Falcon-padded-512,1,21,0.09199660154990741,103.25558044179343,0.0008901669897043121
Falcon-padded-512,1,22,0.0869380608201017,103.1403568929527,0.0008422003197800956
Falcon-padded-512,1,23,0.09282656502909865,105.2792440445628,0.000880940883975082
Falcon-padded-512,1,24,0.09605951257981257,103.04483949718997,0.0009313425954403748
Falcon-padded-512,1,25,0.09902978083118695,105.76976721524261,0.000935401021274092
Falcon-padded-512,1,26,0.10127119859680447,102.51893883245066,0.0009868543298261147
Falcon-padded-512,1,27,0.10627515683881841,103.55796361295506,0.001025186294714637
