run,round,reference_scheme,scheme,abs_diff
5,30,no_signature,ECDSA-256,0.0015000000000000568
1,0,no_signature,Falcon-padded-512,0.0
1,1,no_signature,Falcon-padded-512,0.0
1,2,no_signature,Falcon-padded-512,0.0027000000000000357
1,3,no_signature,Falcon-padded-512,0.00539999999999996
1,4,no_signature,Falcon-padded-512,0.0035000000000000586
1,5,no_signature,Falcon-padded-512,0.0013999999999999568
1,6,no_signature,Falcon-padded-512,0.0038000000000000256
1,7,no_signature,Falcon-padded-512,0.0037000000000000366
1,8,no_signature,Falcon-padded-512,0.0027000000000000357
1,9,no_signature,Falcon-padded-512,0.006899999999999906
1,10,no_signature,Falcon-padded-512,0.0047000000000000375
1,11,no_signature,Falcon-padded-512,0.005299999999999971
1,12,no_signature,Falcon-padded-512,0.0027000000000000357
1,13,no_signature,Falcon-padded-512,0.00019999999999997797
1,14,no_signature,Falcon-padded-512,0.0017999999999999128
1,15,no_signature,Falcon-padded-512,0.0048000000000000265
1,16,no_signature,Falcon-padded-512,0.006400000000000072
1,17,no_signature,Falcon-padded-512,9.999999999998899e-05
1,18,no_signature,Falcon-padded-512,0.0030000000000000027
1,19,no_signature,Falcon-padded-512,0.005599999999999938
1,20,no_signature,Falcon-padded-512,0.0040999999999999925
1,21,no_signature,Falcon-padded-512,0.008600000000000052
1,22,no_signature,Falcon-padded-512,0.005700000000000038
1,23,no_signature,Falcon-padded-512,0.00759999999999994
1,24,no_signature,Falcon-padded-512,0.0029000000000000137
1,25,no_signature,Falcon-padded-512,9.999999999998899e-05
1,26,no_signature,Falcon-padded-512,0.0037000000000000366
1,27,no_signature,Falcon-padded-512,0.0027000000000000357
1,28,no_signature,Falcon-padded-512,0.0050000000000000044
1,29,no_signature,Falcon-padded-512,0.0019000000000000128
1,30,no_signature,Falcon-padded-512,0.005600000000000049
2,0,no_signature,Falcon-padded-512,0.0
2,1,no_signature,Falcon-padded-512,0.0
2,2,no_signature,Falcon-padded-512,0.016800000000000037
2,3,no_signature,Falcon-padded-512,0.01200000000000001
2,4,no_signature,Falcon-padded-512,0.009600000000000053
2,5,no_signature,Falcon-padded-512,0.0036000000000000476
2,6,no_signature,Falcon-padded-512,0.007800000000000029
2,7,no_signature,Falcon-padded-512,0.0049000000000000155
2,8,no_signature,Falcon-padded-512,0.0028000000000000247
2,9,no_signature,Falcon-padded-512,0.0043999999999999595
2,10,no_signature,Falcon-padded-512,0.0049000000000000155
2,11,no_signature,Falcon-padded-512,0.005099999999999993
2,12,no_signature,Falcon-padded-512,0.0031999999999999806
2,13,no_signature,Falcon-padded-512,0.0040999999999999925
2,14,no_signature,Falcon-padded-512,0.0031999999999999806
2,15,no_signature,Falcon-padded-512,0.0038000000000000256
2,16,no_signature,Falcon-padded-512,0.0030999999999999917
2,17,no_signature,Falcon-padded-512,0.0022000000000000908
2,18,no_signature,Falcon-padded-512,0.0009000000000000119
2,19,no_signature,Falcon-padded-512,0.0006999999999999229
2,20,no_signature,Falcon-padded-512,0.005700000000000038
2,21,no_signature,Falcon-padded-512,0.0012999999999999678
2,22,no_signature,Falcon-padded-512,0.0005999999999999339
2,23,no_signature,Falcon-padded-512,0.0050000000000000044
2,24,no_signature,Falcon-padded-512,0.0020000000000000018
2,25,no_signature,Falcon-padded-512,0.0034000000000000696
2,26,no_signature,Falcon-padded-512,0.00550000000000006
2,27,no_signature,Falcon-padded-512,0.0019000000000000128
2,28,no_signature,Falcon-padded-512,0.0046999999999999265
2,29,no_signature,Falcon-padded-512,0.0040000000000000036
2,30,no_signature,Falcon-padded-512,0.009099999999999997
3,0,no_signature,Falcon-padded-512,0.0
3,1,no_signature,Falcon-padded-512,0.0
3,2,no_signature,Falcon-padded-512,0.006700000000000039
3,3,no_signature,Falcon-padded-512,0.023899999999999977
3,4,no_signature,Falcon-padded-512,0.0049000000000000155
3,5,no_signature,Falcon-padded-512,0.0019000000000000128
3,6,no_signature,Falcon-padded-512,0.007000000000000006
3,7,no_signature,Falcon-padded-512,0.005300000000000082
3,8,no_signature,Falcon-padded-512,0.0022999999999999687
3,9,no_signature,Falcon-padded-512,0.006699999999999928
3,10,no_signature,Falcon-padded-512,0.006099999999999994
3,11,no_signature,Falcon-padded-512,0.005199999999999982
3,12,no_signature,Falcon-padded-512,0.0030999999999999917
3,13,no_signature,Falcon-padded-512,0.0023999999999999577
3,14,no_signature,Falcon-padded-512,0.005099999999999993
3,15,no_signature,Falcon-padded-512,0.0028000000000000247
3,16,no_signature,Falcon-padded-512,0.0018000000000000238
3,17,no_signature,Falcon-padded-512,0.0015999999999999348
3,18,no_signature,Falcon-padded-512,0.0028000000000000247
3,19,no_signature,Falcon-padded-512,0.005199999999999982
3,20,no_signature,Falcon-padded-512,0.0013999999999999568
3,21,no_signature,Falcon-padded-512,0.0036000000000000476
3,22,no_signature,Falcon-padded-512,0.0030999999999999917
3,23,no_signature,Falcon-padded-512,0.0038000000000000256
3,24,no_signature,Falcon-padded-512,9.999999999998899e-05
3,25,no_signature,Falcon-padded-512,0.00029999999999996696
3,26,no_signature,Falcon-padded-512,0.008099999999999996
3,27,no_signature,Falcon-padded-512,0.0026000000000000467
3,28,no_signature,Falcon-padded-512,0.0035000000000000586
3,29,no_signature,Falcon-padded-512,0.0044000000000000705
3,30,no_signature,Falcon-padded-512,0.0020000000000000018
4,0,no_signature,Falcon-padded-512,0.0
4,1,no_signature,Falcon-padded-512,0.0
4,2,no_signature,Falcon-padded-512,0.006400000000000017
4,3,no_signature,Falcon-padded-512,0.006700000000000039
4,4,no_signature,Falcon-padded-512,0.006900000000000017
4,5,no_signature,Falcon-padded-512,0.0040999999999999925
4,6,no_signature,Falcon-padded-512,0.007099999999999995
4,7,no_signature,Falcon-padded-512,0.0018000000000000238
4,8,no_signature,Falcon-padded-512,0.0007999999999999119
4,9,no_signature,Falcon-padded-512,0.0022999999999999687
4,10,no_signature,Falcon-padded-512,0.0020999999999999908
4,11,no_signature,Falcon-padded-512,0.0009000000000000119
4,12,no_signature,Falcon-padded-512,0.0016000000000000458
4,13,no_signature,Falcon-padded-512,0.007600000000000051
4,14,no_signature,Falcon-padded-512,0.0037000000000000366
4,15,no_signature,Falcon-padded-512,0.0004999999999999449
4,16,no_signature,Falcon-padded-512,0.0010999999999999899
4,17,no_signature,Falcon-padded-512,0.0010000000000000009
4,18,no_signature,Falcon-padded-512,0.0014000000000000679
4,19,no_signature,Falcon-padded-512,0.0020000000000000018
4,20,no_signature,Falcon-padded-512,0.008199999999999985
4,21,no_signature,Falcon-padded-512,0.007800000000000029
4,22,no_signature,Falcon-padded-512,0.008499999999999952
4,23,no_signature,Falcon-padded-512,0.00550000000000006
4,24,no_signature,Falcon-padded-512,0.006599999999999939
4,25,no_signature,Falcon-padded-512,0.008000000000000007
4,26,no_signature,Falcon-padded-512,0.0012000000000000899
4,27,no_signature,Falcon-padded-512,0.0023000000000000798
4,28,no_signature,Falcon-padded-512,0.005299999999999971
4,29,no_signature,Falcon-padded-512,0.0036000000000000476
4,30,no_signature,Falcon-padded-512,0.0023000000000000798
5,0,no_signature,Falcon-padded-512,0.0
5,1,no_signature,Falcon-padded-512,0.0
5,2,no_signature,Falcon-padded-512,0.0024000000000000132
5,3,no_signature,Falcon-padded-512,0.0030000000000000027
5,4,no_signature,Falcon-padded-512,0.00029999999999996696
5,5,no_signature,Falcon-padded-512,0.007299999999999973
5,6,no_signature,Falcon-padded-512,0.0033999999999999586
5,7,no_signature,Falcon-padded-512,0.008299999999999974
5,8,no_signature,Falcon-padded-512,0.00040000000000006697
5,9,no_signature,Falcon-padded-512,0.0009000000000000119
5,10,no_signature,Falcon-padded-512,0.0028000000000000247
5,11,no_signature,Falcon-padded-512,0.005199999999999982
5,12,no_signature,Falcon-padded-512,0.0052000000000000934
5,13,no_signature,Falcon-padded-512,0.00029999999999996696
5,14,no_signature,Falcon-padded-512,0.0013999999999999568
5,15,no_signature,Falcon-padded-512,0.0019000000000000128
5,16,no_signature,Falcon-padded-512,0.0021999999999999797
5,17,no_signature,Falcon-padded-512,0.0020000000000000018
5,18,no_signature,Falcon-padded-512,0.006800000000000028
5,19,no_signature,Falcon-padded-512,0.0050000000000000044
5,20,no_signature,Falcon-padded-512,0.0040000000000000036
5,21,no_signature,Falcon-padded-512,0.006000000000000005
5,22,no_signature,Falcon-padded-512,0.007500000000000062
5,23,no_signature,Falcon-padded-512,0.004999999999999893
5,24,no_signature,Falcon-padded-512,0.0009000000000000119
5,25,no_signature,Falcon-padded-512,0.0020999999999999908
5,26,no_signature,Falcon-padded-512,0.0047000000000000375
5,27,no_signature,Falcon-padded-512,0.0011999999999999789
5,28,no_signature,Falcon-padded-512,0.0049000000000000155
5,29,no_signature,Falcon-padded-512,0.0014000000000000679
5,30,no_signature,Falcon-padded-512,0.0023999999999999577
1,0,no_signature,ML-DSA-44,0.0
1,1,no_signature,ML-DSA-44,0.0
1,2,no_signature,ML-DSA-44,0.01739999999999997
1,3,no_signature,ML-DSA-44,0.019699999999999995
1,4,no_signature,ML-DSA-44,0.0036000000000000476
1,5,no_signature,ML-DSA-44,0.005899999999999905
1,6,no_signature,ML-DSA-44,0.006500000000000061
1,7,no_signature,ML-DSA-44,0.00019999999999997797
1,8,no_signature,ML-DSA-44,0.0045000000000000595
1,9,no_signature,ML-DSA-44,0.006799999999999917
1,10,no_signature,ML-DSA-44,0.0026000000000000467
1,11,no_signature,ML-DSA-44,0.007099999999999995
1,12,no_signature,ML-DSA-44,0.0020000000000000018
1,13,no_signature,ML-DSA-44,0.006000000000000005
1,14,no_signature,ML-DSA-44,0.0039000000000000146
1,15,no_signature,ML-DSA-44,0.005599999999999938
1,16,no_signature,ML-DSA-44,0.0030000000000000027
1,17,no_signature,ML-DSA-44,0.0048000000000000265
1,18,no_signature,ML-DSA-44,0.00029999999999996696
1,19,no_signature,ML-DSA-44,0.0024999999999999467
1,20,no_signature,ML-DSA-44,0.0039000000000000146
1,21,no_signature,ML-DSA-44,0.0032000000000000917
1,22,no_signature,ML-DSA-44,0.0027000000000000357
1,23,no_signature,ML-DSA-44,0.0042999999999999705
1,24,no_signature,ML-DSA-44,0.0011999999999999789
1,25,no_signature,ML-DSA-44,0.0013999999999999568
1,26,no_signature,ML-DSA-44,0.005700000000000038
1,27,no_signature,ML-DSA-44,0.00649999999999995
1,28,no_signature,ML-DSA-44,0.012400000000000078
1,29,no_signature,ML-DSA-44,0.006000000000000005
1,30,no_signature,ML-DSA-44,0.007200000000000095
2,0,no_signature,ML-DSA-44,0.0
2,1,no_signature,ML-DSA-44,0.0
2,2,no_signature,ML-DSA-44,0.02290000000000003
2,3,no_signature,ML-DSA-44,0.005799999999999972
2,4,no_signature,ML-DSA-44,0.005199999999999982
2,5,no_signature,ML-DSA-44,0.0018000000000000238
2,6,no_signature,ML-DSA-44,0.0009000000000000119
2,7,no_signature,ML-DSA-44,0.01090000000000002
2,8,no_signature,ML-DSA-44,0.0010000000000000009
2,9,no_signature,ML-DSA-44,0.0005999999999999339
2,10,no_signature,ML-DSA-44,0.0015000000000000568
2,11,no_signature,ML-DSA-44,0.0041999999999999815
2,12,no_signature,ML-DSA-44,0.00019999999999997797
2,13,no_signature,ML-DSA-44,0.0037999999999999146
2,14,no_signature,ML-DSA-44,0.0
2,15,no_signature,ML-DSA-44,0.0031999999999999806
2,16,no_signature,ML-DSA-44,0.0046000000000000485
2,17,no_signature,ML-DSA-44,0.00039999999999995595
2,18,no_signature,ML-DSA-44,0.00019999999999997797
2,19,no_signature,ML-DSA-44,0.0020999999999999908
2,20,no_signature,ML-DSA-44,0.0022999999999999687
2,21,no_signature,ML-DSA-44,0.0011999999999999789
2,22,no_signature,ML-DSA-44,0.0030999999999999917
2,23,no_signature,ML-DSA-44,0.0037000000000000366
2,24,no_signature,ML-DSA-44,0.0013999999999999568
2,25,no_signature,ML-DSA-44,0.0005999999999999339
2,26,no_signature,ML-DSA-44,0.007300000000000084
2,27,no_signature,ML-DSA-44,0.0013999999999999568
2,28,no_signature,ML-DSA-44,0.0030999999999999917
2,29,no_signature,ML-DSA-44,0.0020000000000000018
2,30,no_signature,ML-DSA-44,0.000300000000000078
3,0,no_signature,ML-DSA-44,0.0
3,1,no_signature,ML-DSA-44,0.0
3,2,no_signature,ML-DSA-44,0.005700000000000038
3,3,no_signature,ML-DSA-44,0.0031999999999999806
3,4,no_signature,ML-DSA-44,0.009600000000000053
3,5,no_signature,ML-DSA-44,0.0015999999999999348
3,6,no_signature,ML-DSA-44,0.0039000000000000146
3,7,no_signature,ML-DSA-44,0.0020000000000000018
3,8,no_signature,ML-DSA-44,0.0028000000000000247
3,9,no_signature,ML-DSA-44,0.0
3,10,no_signature,ML-DSA-44,0.005199999999999982
3,11,no_signature,ML-DSA-44,0.0020999999999999908
3,12,no_signature,ML-DSA-44,9.999999999998899e-05
3,13,no_signature,ML-DSA-44,0.0037999999999999146
3,14,no_signature,ML-DSA-44,0.0037999999999999146
3,15,no_signature,ML-DSA-44,0.005300000000000082
3,16,no_signature,ML-DSA-44,0.0007000000000000339
3,17,no_signature,ML-DSA-44,0.0008000000000000229
3,18,no_signature,ML-DSA-44,0.0025999999999999357
3,19,no_signature,ML-DSA-44,0.0007000000000000339
3,20,no_signature,ML-DSA-44,0.0040000000000000036
3,21,no_signature,ML-DSA-44,0.0010999999999999899
3,22,no_signature,ML-DSA-44,0.005900000000000016
3,23,no_signature,ML-DSA-44,0.0049000000000000155
3,24,no_signature,ML-DSA-44,0.0013999999999999568
3,25,no_signature,ML-DSA-44,0.0007000000000000339
3,26,no_signature,ML-DSA-44,0.007299999999999973
3,27,no_signature,ML-DSA-44,0.0023999999999999577
3,28,no_signature,ML-DSA-44,0.0036000000000000476
3,29,no_signature,ML-DSA-44,0.0034000000000000696
3,30,no_signature,ML-DSA-44,0.007099999999999995
4,0,no_signature,ML-DSA-44,0.0
4,1,no_signature,ML-DSA-44,0.0
4,2,no_signature,ML-DSA-44,0.004799999999999971
4,3,no_signature,ML-DSA-44,0.007299999999999973
4,4,no_signature,ML-DSA-44,0.008199999999999985
4,5,no_signature,ML-DSA-44,0.0017999999999999128
4,6,no_signature,ML-DSA-44,0.0012999999999999678
4,7,no_signature,ML-DSA-44,0.0009000000000000119
4,8,no_signature,ML-DSA-44,0.0045000000000000595
4,9,no_signature,ML-DSA-44,0.005499999999999949
4,10,no_signature,ML-DSA-44,0.0036000000000000476
4,11,no_signature,ML-DSA-44,0.0008000000000000229
4,12,no_signature,ML-DSA-44,0.0013999999999999568
4,13,no_signature,ML-DSA-44,0.006299999999999972
4,14,no_signature,ML-DSA-44,0.0025000000000000577
4,15,no_signature,ML-DSA-44,0.0035000000000000586
4,16,no_signature,ML-DSA-44,0.0031999999999999806
4,17,no_signature,ML-DSA-44,0.005900000000000016
4,18,no_signature,ML-DSA-44,0.0010999999999999899
4,19,no_signature,ML-DSA-44,0.000500000000000056
4,20,no_signature,ML-DSA-44,0.0048000000000000265
4,21,no_signature,ML-DSA-44,0.001100000000000101
4,22,no_signature,ML-DSA-44,0.0040000000000000036
4,23,no_signature,ML-DSA-44,0.0030000000000000027
4,24,no_signature,ML-DSA-44,0.0043999999999999595
4,25,no_signature,ML-DSA-44,0.0008000000000000229
4,26,no_signature,ML-DSA-44,0.007000000000000006
4,27,no_signature,ML-DSA-44,0.0022999999999999687
4,28,no_signature,ML-DSA-44,0.0030999999999999917
4,29,no_signature,ML-DSA-44,0.0036000000000000476
4,30,no_signature,ML-DSA-44,0.005099999999999993
5,0,no_signature,ML-DSA-44,0.0
5,1,no_signature,ML-DSA-44,0.0
5,2,no_signature,ML-DSA-44,9.999999999998899e-05
5,3,no_signature,ML-DSA-44,0.0
5,4,no_signature,ML-DSA-44,0.00040000000000006697
5,5,no_signature,ML-DSA-44,0.0010999999999999899
5,6,no_signature,ML-DSA-44,0.005599999999999938
5,7,no_signature,ML-DSA-44,0.011699999999999933
5,8,no_signature,ML-DSA-44,0.008599999999999941
5,9,no_signature,ML-DSA-44,0.010099999999999998
5,10,no_signature,ML-DSA-44,0.0023999999999999577
5,11,no_signature,ML-DSA-44,0.009299999999999975
5,12,no_signature,ML-DSA-44,0.0022999999999999687
5,13,no_signature,ML-DSA-44,0.006099999999999994
5,14,no_signature,ML-DSA-44,0.0013999999999999568
5,15,no_signature,ML-DSA-44,0.000300000000000078
5,16,no_signature,ML-DSA-44,0.0015000000000000568
5,17,no_signature,ML-DSA-44,0.00039999999999995595
5,18,no_signature,ML-DSA-44,0.0021999999999999797
5,19,no_signature,ML-DSA-44,0.005499999999999949
5,20,no_signature,ML-DSA-44,0.0026000000000000467
5,21,no_signature,ML-DSA-44,0.00759999999999994
5,22,no_signature,ML-DSA-44,0.012599999999999945
5,23,no_signature,ML-DSA-44,0.0047000000000000375
5,24,no_signature,ML-DSA-44,0.0037999999999999146
5,25,no_signature,ML-DSA-44,0.007299999999999973
5,26,no_signature,ML-DSA-44,0.007899999999999907
5,27,no_signature,ML-DSA-44,0.005499999999999949
5,28,no_signature,ML-DSA-44,0.007399999999999962
5,29,no_signature,ML-DSA-44,0.011800000000000033
5,30,no_signature,ML-DSA-44,0.0027000000000000357
1,0,no_signature,ML-DSA-65,0.0
1,1,no_signature,ML-DSA-65,0.0
1,2,no_signature,ML-DSA-65,0.008599999999999997
1,3,no_signature,ML-DSA-65,0.0131
1,4,no_signature,ML-DSA-65,0.009499999999999953
1,5,no_signature,ML-DSA-65,0.0046999999999999265
1,6,no_signature,ML-DSA-65,0.006299999999999972
1,7,no_signature,ML-DSA-65,0.006700000000000039
1,8,no_signature,ML-DSA-65,0.006800000000000028
1,9,no_signature,ML-DSA-65,0.0014000000000000679
1,10,no_signature,ML-DSA-65,0.0037000000000000366
1,11,no_signature,ML-DSA-65,0.0004999999999999449
1,12,no_signature,ML-DSA-65,0.0020999999999999908
1,13,no_signature,ML-DSA-65,0.00029999999999996696
1,14,no_signature,ML-DSA-65,0.0010000000000000009
1,15,no_signature,ML-DSA-65,0.006399999999999961
1,16,no_signature,ML-DSA-65,0.006900000000000017
1,17,no_signature,ML-DSA-65,0.0013999999999999568
1,18,no_signature,ML-DSA-65,0.0040000000000000036
1,19,no_signature,ML-DSA-65,0.010099999999999998
1,20,no_signature,ML-DSA-65,0.00869999999999993
1,21,no_signature,ML-DSA-65,0.005600000000000049
1,22,no_signature,ML-DSA-65,0.005599999999999938
1,23,no_signature,ML-DSA-65,0.00869999999999993
1,24,no_signature,ML-DSA-65,0.006299999999999972
1,25,no_signature,ML-DSA-65,0.0026999999999999247
1,26,no_signature,ML-DSA-65,0.0033999999999999586
1,27,no_signature,ML-DSA-65,0.005600000000000049
1,28,no_signature,ML-DSA-65,0.007000000000000006
1,29,no_signature,ML-DSA-65,0.0019000000000000128
1,30,no_signature,ML-DSA-65,0.012900000000000023
2,0,no_signature,ML-DSA-65,0.0
2,1,no_signature,ML-DSA-65,0.0
2,2,no_signature,ML-DSA-65,0.012400000000000022
2,3,no_signature,ML-DSA-65,0.029899999999999982
2,4,no_signature,ML-DSA-65,0.0007000000000000339
2,5,no_signature,ML-DSA-65,0.0016999999999999238
2,6,no_signature,ML-DSA-65,0.0039000000000000146
2,7,no_signature,ML-DSA-65,0.009599999999999942
2,8,no_signature,ML-DSA-65,0.0019000000000000128
2,9,no_signature,ML-DSA-65,0.0040999999999999925
2,10,no_signature,ML-DSA-65,0.0039000000000000146
2,11,no_signature,ML-DSA-65,0.0012999999999999678
2,12,no_signature,ML-DSA-65,0.0022999999999999687
2,13,no_signature,ML-DSA-65,0.0009000000000000119
2,14,no_signature,ML-DSA-65,0.0048000000000000265
