scheme,round,accuracy_mean,accuracy_std
ML-DSA-44,2,0.46387999999999996,0.02465982562793175
ML-DSA-44,3,0.55026,0.02359635565082032
ML-DSA-44,4,0.60384,0.017990914373649854
ML-DSA-44,5,0.6402599999999999,0.01274727421843585
ML-DSA-44,6,0.66206,0.015076239584193421
ML-DSA-44,7,0.6824,0.011532562594670781
ML-DSA-44,8,0.69732,0.008561950712308515
ML-DSA-44,9,0.7054400000000001,0.01044619547969492
ML-DSA-44,10,0.71038,0.007764470361847012
ML-DSA-44,11,0.7156,0.009906311119685299
ML-DSA-44,12,0.71842,0.005538230764422842
ML-DSA-44,13,0.71998,0.009027291952739805
ML-DSA-44,14,0.72258,0.009481402849789674
ML-DSA-44,15,0.7207,0.005986651818838288
ML-DSA-44,16,0.721,0.00708131343749169
ML-DSA-44,17,0.72152,0.009727127016750612
ML-DSA-44,18,0.7207800000000001,0.007310745516019557
ML-DSA-44,19,0.7216400000000001,0.004824209779849936
ML-DSA-44,20,0.72182,0.004468444919656075
ML-DSA-44,21,0.72078,0.005051435439555761
ML-DSA-44,22,0.72036,0.006861340976806216
ML-DSA-44,23,0.72138,0.005203556476103645
ML-DSA-44,24,0.7214,0.006412097940611934
ML-DSA-44,25,0.71984,0.0074493623888222775
ML-DSA-44,26,0.72174,0.007798910180275172
ML-DSA-44,27,0.71916,0.005060434763930883
ML-DSA-44,28,0.72132,0.006926182209558164
ML-DSA-44,29,0.72256,0.004831459406845936
ML-DSA-44,30,0.72104,0.006370871212008604
ML-DSA-65,0,0.10148000000000001,0.008546753769706952
ML-DSA-65,1,0.1679,0.031052375110448484
ML-DSA-65,2,0.45865999999999996,0.021095568254967677
ML-DSA-65,3,0.55666,0.014940147254963706
ML-DSA-65,4,0.60476,0.01351528764029831
ML-DSA-65,5,0.63556,0.01609822971633842
ML-DSA-65,6,0.66194,0.013193672725969819
ML-DSA-65,7,0.6794,0.0147197146711477
ML-DSA-65,8,0.69124,0.01047201031321114
ML-DSA-65,9,0.7001,0.009915896328623074
ML-DSA-65,10,0.7096600000000001,0.0090998901092266
ML-DSA-65,11,0.7136,0.01090114672867033
ML-DSA-65,12,0.7144999999999999,0.009772921773962997
ML-DSA-65,13,0.7195400000000001,0.00654010703276325
ML-DSA-65,14,0.71982,0.005962130491695123
ML-DSA-65,15,0.7217800000000001,0.006581945001289498
ML-DSA-65,16,0.72222,0.007996686813924887
ML-DSA-65,17,0.72234,0.008340143883650933
ML-DSA-65,18,0.72326,0.005960956299118385
ML-DSA-65,19,0.7209,0.008236200580364712
ML-DSA-65,20,0.72356,0.00624763955426366
ML-DSA-65,21,0.7207399999999999,0.007377194588730811
ML-DSA-65,22,0.71946,0.010726043072820468
ML-DSA-65,23,0.71882,0.0068721903349660005
ML-DSA-65,24,0.71976,0.00906327755285026
ML-DSA-65,25,0.7225400000000001,0.007230698444825359
ML-DSA-65,26,0.72054,0.008567555077150046
ML-DSA-65,27,0.7212799999999999,0.00886211035814832
ML-DSA-65,28,0.7192999999999999,0.0063741666121933625
ML-DSA-65,29,0.71856,0.007899556949601665
ML-DSA-65,30,0.7175,0.009514199913813037
ML-DSA-87,0,0.10148000000000001,0.008546753769706952
ML-DSA-87,1,0.1679,0.031052375110448484
ML-DSA-87,2,0.45782,0.022305873665920378
ML-DSA-87,3,0.55498,0.017615532918421748
ML-DSA-87,4,0.6011599999999999,0.010117954338699128
ML-DSA-87,5,0.6384000000000001,0.013141917668285685
ML-DSA-87,6,0.65988,0.01157786681560988
ML-DSA-87,7,0.67448,0.012279535821846032
ML-DSA-87,8,0.69578,0.009752281784280037
ML-DSA-87,9,0.70126,0.010986036591965261
ML-DSA-87,10,0.70922,0.007517113807838743
ML-DSA-87,11,0.71536,0.008733727726463643
ML-DSA-87,12,0.71974,0.007356833557992234
ML-DSA-87,13,0.71902,0.009372939773624873
ML-DSA-87,14,0.72238,0.007606050223341979
ML-DSA-87,15,0.7217399999999999,0.00694571810542289
ML-DSA-87,16,0.72284,0.005164590980900575
ML-DSA-87,17,0.72172,0.004304300175405969
ML-DSA-87,18,0.7235199999999999,0.005882771455700092
ML-DSA-87,19,0.72156,0.006665433219228896
ML-DSA-87,20,0.72094,0.005695875700890986
ML-DSA-87,21,0.72152,0.006124295877894875
ML-DSA-87,22,0.72242,0.007329870394488504
ML-DSA-87,23,0.72234,0.005131568960853974
ML-DSA-87,24,0.72234,0.006646277153414498
ML-DSA-87,25,0.7200599999999999,0.005371498859722502
ML-DSA-87,26,0.7220799999999999,0.007676392381841897
ML-DSA-87,27,0.72202,0.005538682153725763
ML-DSA-87,28,0.7231799999999999,0.006742180656137883
ML-DSA-87,29,0.72068,0.005655705084248987
ML-DSA-87,30,0.72262,0.006515903621141121
RSA-2048,0,0.10148000000000001,0.008546753769706952
RSA-2048,1,0.1679,0.031052375110448484
RSA-2048,2,0.46758,0.01655783802312366
RSA-2048,3,0.55568,0.01933098548962265
RSA-2048,4,0.60248,0.014808848706094642
RSA-2048,5,0.63608,0.018598171953178647
RSA-2048,6,0.6623,0.012530562637008774
RSA-2048,7,0.68304,0.014344092860826056
