scheme,run,round,crypto_cost_round,train_cost_round,crypto_fraction
ML-DSA-87,5,30,0.0034663089973031597,97.68709068699536,3.54825389873184e-05
RSA-2048,1,1,0.5124278280054563,99.85883923799702,0.005105323893824039
RSA-2048,1,2,0.37640219200693475,100.30480012299813,0.003738554798236031
RSA-2048,1,3,0.18544338401261437,99.90303382899583,0.0018527945391551266
RSA-2048,1,4,0.2270081849928823,101.659256455001,0.0022280548393347785
RSA-2048,1,5,0.2648293479942362,99.6369118129951,0.002650898221758416
RSA-2048,1,6,0.3652581679998544,102.11195975101145,0.003564286535262123
RSA-2048,1,7,0.27628071698563805,100.16041531899828,0.002750794559058909
RSA-2048,1,8,0.31862851499317857,99.32387610700971,0.0031977168398356335
RSA-2048,1,9,0.5920139969966834,102.3603275150017,0.00575036942630089
RSA-2048,1,10,0.3228602089948249,98.65237367299414,0.0032620302709239412
RSA-2048,1,11,0.5181879950032448,101.81490164800198,0.005063738394012854
RSA-2048,1,12,0.5014065890063644,97.68929650101927,0.005106456856171529
RSA-2048,1,13,0.3273424340004563,98.91618852999818,0.003298375529576858
RSA-2048,1,14,0.233631370014336,100.70191624500148,0.0023146589634153777
RSA-2048,1,15,0.2589877369900928,100.0339918239988,0.0025823117243475697
RSA-2048,1,16,0.1967497140067277,101.63276466799289,0.0019321482106714938
RSA-2048,1,17,0.4249913399980863,99.77940679300809,0.004241244375660783
RSA-2048,1,18,0.3197721119940976,99.18033794400253,0.003213786515553967
RSA-2048,1,19,0.388468597993778,102.35570327199821,0.003780930742089481
RSA-2048,1,20,0.3262189740271419,99.59798953100835,0.0032646640779816906
RSA-2048,1,21,0.20665618101338576,102.02284398499614,0.002021492628622841
RSA-2048,1,22,0.34044438501587093,100.66941130599298,0.0033704075972279084
RSA-2048,1,23,0.3214667389838718,100.444724150002,0.0031902241828117898
RSA-2048,1,24,0.23269868800707574,101.9571105649884,0.002277122246416706
RSA-2048,1,25,0.20407633900322203,99.72284927600413,0.0020422557558657964
RSA-2048,1,26,0.30815802801953357,101.60059520199866,0.003023862212542138
RSA-2048,1,27,0.26828596899576873,98.36167951900279,0.0027201263598577875
RSA-2048,1,28,0.4832871570033599,99.81489873300598,0.004818503472568789
RSA-2048,1,29,0.34578782899916366,100.53301975000068,0.0034277549199654405
RSA-2048,1,30,0.2646622459942588,99.63295339700562,0.0026493349645107817
RSA-2048,2,1,0.3073992110075772,98.03209500500088,0.003125897824249094
RSA-2048,2,2,0.13161761101218822,98.87286939800106,0.0013294105650000076
RSA-2048,2,3,0.2953574769926486,100.12687608399574,0.0029411562212791472
RSA-2048,2,4,0.23434060098952575,98.32884165299765,0.002377567319058897
RSA-2048,2,5,0.3335510539982346,101.0820100580022,0.003288953394734664
RSA-2048,2,6,0.3394090009751376,97.79299150700535,0.00345868438169446
RSA-2048,2,7,0.33293965899065314,98.05222783399222,0.0033840432198725423
RSA-2048,2,8,0.33038400999066614,99.67040638700564,0.0033038139866601473
RSA-2048,2,9,0.39957701500679776,97.07234399300069,0.004099406381597546
RSA-2048,2,10,0.2872667280171293,99.74351679200483,0.0028717832442013273
RSA-2048,2,11,0.31954117298300777,97.70496554299461,0.003259809038456745
RSA-2048,2,12,0.3354185839998532,101.07511252599943,0.003307532071161594
RSA-2048,2,13,0.5814047570020189,98.52042896798957,0.005866740656034901
RSA-2048,2,14,0.36905811000178756,100.29521558400302,0.003666227316392661
RSA-2048,2,15,0.3929226640029806,101.79096930099331,0.003845250522827792
RSA-2048,2,16,0.33091968399094124,99.11344998299319,0.0033276864753541465
RSA-2048,2,17,0.26669619100721276,102.638257022998,0.002591674964883185
RSA-2048,2,18,0.40290297599130964,98.72905224799615,0.004064309788715003
RSA-2048,2,19,0.30971236699406246,98.44435469499149,0.0031361986013159686
RSA-2048,2,20,0.3032128749982797,99.5083782040092,0.003037852334788117
RSA-2048,2,21,0.3051879270060449,97.36884247800481,0.003124555480515814
RSA-2048,2,22,0.26094738500250914,100.4905690480009,0.0025900095029937433
